排名,战队,比赛场次,胜场,胜率,场均 KDA,场均击杀数,场均死亡数,场均助攻数,场均经济
1,成都 AG 超玩会,69,52,75.30%,7.6（10/7.8/26.5）,10,7.8,26.5,48828.1
2,重庆狼队,80,50,62.50%,8（9.7/8.2/25.8）,9.7,8.2,25.8,49881.1
3,北京 WB,59,35,59.30%,6.1（9.7/7.5/25）,9.7,7.5,25,50492.1
4,苏州 KSG,83,49,59%,7（9.5/7.6/24.8）,9.5,7.6,24.8,48691.6
5,广州 TTG,81,46,56.70%,7.2（8.6/7.7/23.8）,8.6,7.7,23.8,50477.9
6,武汉 eStarPro,89,48,53.90%,7.6（10.2/8.5/27.7）,10.2,8.5,27.7,49163.4
7,济南 RW 侠,67,34,50.70%,6.6（8.7/8/22.7）,8.7,8,22.7,46430.1
8,佛山 DRG,75,38,50.60%,6.5（9.8/8.5/25.6）,9.8,8.5,25.6,50622.1
9,深圳 DYG,49,24,48.90%,6.4（9.1/9.4/24.3）,9.1,9.4,24.3,48210.6
10,杭州 LGD.NBW,66,31,46.90%,5.2（7.4/8.4/19.9）,7.4,8.4,19.9,45263.5
11,BOA,70,31,44.20%,5.2（7.4/8.9/19.4）,7.4,8.9,19.4,45425.5
12,西安 WE,41,18,43.90%,5.9（9.2/9.4/26）,9.2,9.4,26,50402
13,北京 JDG,64,26,40.60%,4.2（7.1/9.2/19.4）,7.1,9.2,19.4,47574.8
14,长沙 TES.A,62,25,40.30%,5（8/9.1/21）,8,9.1,21,48556.3
15,上海 EDG.M,42,15,35.70%,3.3（7.2/10.9/18.6）,7.2,10.9,18.6,44386.5
16,上海 RNG.M,38,12,31.50%,3.3（7.2/11/17.7）,7.2,11,17.7,47485.4
17,南通 Hero 久竞,35,11,31.40%,4（7.7/9.8/20.5）,7.7,9.8,20.5,47753.4
18,XYG,38,9,23.60%,3（6.6/10.8/16.5）,6.6,10.8,16.5,43049.3
