战队名,英雄名,胜率,
BOA,太乙真人,1,辅
BOA,不知火舞,0.777777778,中
BOA,铠,0.714285714,野
BOA,达摩,0.666666667,上
BOA,王昭君,0.636363636,中
BOA,公孙离,0.6,射
BOA,兰陵王,0.6,"野,辅"
BOA,海诺,0.6,"野,中,上"
BOA,孙尚香,0.555555556,射
BOA,杨玉环,0.545454545,"野,中"
Hero久竞,夏侯惇,0.5,"上,野"
Hero久竞,王昭君,0.5,中
Hero久竞,沈梦溪,0.428571429,中
Hero久竞,狂铁,0.333333333,上
Hero久竞,达摩,0.333333333,上
Hero久竞,铠,0.333333333,野
Hero久竞,亚连,0.285714286,上
Hero久竞,姬小满,0.285714286,"上,野"
Hero久竞,兰陵王,0.2,"野,辅"
Hero久竞,夏洛特,0.2,上
Hero久竞,敖隐,0.2,射
Hero久竞,苏烈,0.2,辅
XYG,王昭君,0.571428571,中
XYG,牛魔,0.5,辅
XYG,狄仁杰,0.5,射
XYG,裴擒虎,0.428571429,野
XYG,达摩,0.4,上
XYG,杨玉环,0.333333333,"野,中"
XYG,姬小满,0.285714286,"上,野"
XYG,孙尚香,0.25,射
XYG,铠,0.25,野
XYG,狂铁,0.222222222,上
上海EDG.M,孙尚香,0.666666667,射
上海EDG.M,蔡文姬,0.6,辅
上海EDG.M,王昭君,0.444444444,中
上海EDG.M,亚连,0.428571429,上
上海EDG.M,牛魔,0.428571429,辅
上海EDG.M,狂铁,0.4,上
上海EDG.M,姬小满,0.375,"上,野"
上海EDG.M,弈星,0.375,中
上海EDG.M,沈梦溪,0.375,中
上海EDG.M,黄忠,0.333333333,射
上海RNG.M,杨玉环,0.75,"野,中"
上海RNG.M,狂铁,0.666666667,上
上海RNG.M,鲁班大师,0.666666667,辅
上海RNG.M,不知火舞,0.6,中
上海RNG.M,姬小满,0.5,"上,野"
上海RNG.M,曹操,0.5,"上,野"
上海RNG.M,沈梦溪,0.5,中
上海RNG.M,王昭君,0.5,中
上海RNG.M,公孙离,0.4,射
上海RNG.M,达摩,0.375,上
佛山DRG,西施,0.8,中
佛山DRG,杨玉环,0.75,"野,中"
佛山DRG,哪吒,0.714285714,野
佛山DRG,黄忠,0.714285714,射
佛山DRG,沈梦溪,0.692307692,中
佛山DRG,达摩,0.636363636,上
佛山DRG,孙策,0.625,上
佛山DRG,太乙真人,0.6,辅
佛山DRG,甄姬,0.6,中
佛山DRG,铠,0.6,野
佛山DRG,镜,0.6,野
北京JDG,狄仁杰,0.75,射
北京JDG,露娜,0.625,野
北京JDG,伽罗,0.6,射
北京JDG,牛魔,0.6,辅
北京JDG,兰陵王,0.571428571,"野,辅"
北京JDG,朵莉亚,0.571428571,辅
北京JDG,沈梦溪,0.571428571,中
北京JDG,曹操,0.555555556,"上,野"
北京JDG,张飞,0.5,辅
北京JDG,杨玉环,0.5,"野,中"
北京WB,镜,1,野
北京WB,孙膑,0.833333333,辅
北京WB,庄周,0.833333333,"中,辅,野"
北京WB,公孙离,0.8,射
北京WB,张飞,0.777777778,辅
北京WB,兰陵王,0.714285714,"野,辅"
北京WB,铠,0.7,野
北京WB,戈娅,0.666666667,射
北京WB,狂铁,0.666666667,上
北京WB,不知火舞,0.636363636,中
广州TTG,伽罗,0.857142857,射
广州TTG,庄周,0.833333333,"中,辅,野"
广州TTG,达摩,0.8,上
广州TTG,不知火舞,0.769230769,中
广州TTG,公孙离,0.769230769,射
广州TTG,孙膑,0.75,辅
广州TTG,兰陵王,0.666666667,"野,辅"
广州TTG,暃,0.666666667,野
广州TTG,杨玉环,0.666666667,"野,中"
广州TTG,铠,0.666666667,野
成都AG超玩会,太乙真人,1,辅
成都AG超玩会,弈星,1,中
成都AG超玩会,达摩,1,上
成都AG超玩会,露娜,1,野
成都AG超玩会,鲁班七号,1,射
成都AG超玩会,鲁班大师,0.9,辅
成都AG超玩会,杨玉环,0.888888889,"野,中"
成都AG超玩会,王昭君,0.866666667,中
成都AG超玩会,不知火舞,0.857142857,中
成都AG超玩会,孙膑,0.833333333,辅
成都AG超玩会,沈梦溪,0.833333333,中
成都AG超玩会,甄姬,0.833333333,中
杭州LGD.NBW,干将莫邪,0.875,中
杭州LGD.NBW,夏洛特,0.833333333,上
杭州LGD.NBW,兰陵王,0.666666667,"野,辅"
杭州LGD.NBW,杨玉环,0.6,"野,中"
杭州LGD.NBW,牛魔,0.571428571,辅
杭州LGD.NBW,狄仁杰,0.571428571,射
杭州LGD.NBW,苏烈,0.571428571,辅
杭州LGD.NBW,铠,0.555555556,野
杭州LGD.NBW,嬴政,0.5,中
杭州LGD.NBW,孙尚香,0.5,射
杭州LGD.NBW,弈星,0.5,中
杭州LGD.NBW,张飞,0.5,辅
杭州LGD.NBW,沈梦溪,0.5,中
杭州LGD.NBW,裴擒虎,0.5,野
武汉eStarPro,张飞,1,辅
武汉eStarPro,马可波罗,0.833333333,射
武汉eStarPro,不知火舞,0.75,中
武汉eStarPro,虞姬,0.75,射
武汉eStarPro,桑启,0.727272727,辅
武汉eStarPro,海诺,0.666666667,"野,中,上"
武汉eStarPro,王昭君,0.642857143,中
武汉eStarPro,公孙离,0.625,射
武汉eStarPro,甄姬,0.625,中
武汉eStarPro,黄忠,0.625,射
济南RW侠,不知火舞,0.857142857,中
济南RW侠,张飞,0.8,辅
济南RW侠,沈梦溪,0.777777778,中
济南RW侠,牛魔,0.75,辅
济南RW侠,海诺,0.714285714,"野,中,上"
济南RW侠,镜,0.714285714,野
济南RW侠,杨玉环,0.7,"野,中"
济南RW侠,狄仁杰,0.7,射
济南RW侠,亚连,0.692307692,上
济南RW侠,戈娅,0.666666667,射
济南RW侠,达摩,0.666666667,上
深圳DYG,狄仁杰,0.714285714,射
深圳DYG,裴擒虎,0.714285714,野
深圳DYG,铠,0.714285714,野
深圳DYG,姬小满,0.666666667,"上,野"
深圳DYG,庄周,0.666666667,"中,辅,野"
深圳DYG,沈梦溪,0.625,中
深圳DYG,鲁班大师,0.625,辅
深圳DYG,弈星,0.6,中
深圳DYG,戈娅,0.571428571,射
深圳DYG,杨玉环,0.571428571,"野,中"
深圳DYG,牛魔,0.571428571,辅
深圳DYG,王昭君,0.571428571,中
深圳DYG,达摩,0.571428571,上
苏州KSG,露娜,0.833333333,野
苏州KSG,娜可露露,0.8,野
苏州KSG,戈娅,0.8,射
苏州KSG,海诺,0.8,"野,中,上"
苏州KSG,铠,0.8,野
苏州KSG,狂铁,0.733333333,上
苏州KSG,孙尚香,0.727272727,射
苏州KSG,曹操,0.727272727,"上,野"
苏州KSG,张飞,0.714285714,辅
苏州KSG,达摩,0.714285714,上
西安WE,杨玉环,0.875,"野,中"
西安WE,苏烈,0.75,辅
西安WE,沈梦溪,0.714285714,中
西安WE,姬小满,0.625,"上,野"
西安WE,王昭君,0.625,中
西安WE,曹操,0.571428571,"上,野"
西安WE,太乙真人,0.5,辅
西安WE,戈娅,0.5,射
西安WE,西施,0.5,中
西安WE,亚连,0.428571429,上
西安WE,孙尚香,0.428571429,射
西安WE,狂铁,0.428571429,上
重庆狼队,鲁班七号,1,射
重庆狼队,达摩,0.916666667,上
重庆狼队,裴擒虎,0.857142857,野
重庆狼队,太乙真人,0.833333333,辅
重庆狼队,孙策,0.833333333,上
重庆狼队,海诺,0.833333333,"野,中,上"
重庆狼队,上官婉儿,0.8,中
重庆狼队,干将莫邪,0.8,中
重庆狼队,孙尚香,0.769230769,射
重庆狼队,敖隐,0.75,射
长沙TES.A,铠,0.75,野
长沙TES.A,张飞,0.7,辅
长沙TES.A,沈梦溪,0.666666667,中
长沙TES.A,狂铁,0.6,上
长沙TES.A,兰陵王,0.571428571,"野,辅"
长沙TES.A,杨玉环,0.571428571,"野,中"
长沙TES.A,公孙离,0.538461538,射
长沙TES.A,亚连,0.5,上
长沙TES.A,夏洛特,0.5,上
长沙TES.A,孙尚香,0.5,射
长沙TES.A,曹操,0.5,"上,野"
长沙TES.A,狄仁杰,0.5,射
