位置,最常用英雄名,使用局数
TOP,姬小满,202
TOP,狂铁,172
TOP,达摩,168
TOP,亚连,168
TOP,夏洛特,118
TOP,孙策,84
TOP,曹操,80
TOP,关羽,30
TOP,蒙恬,14
TOP,马超,11
JUN,铠,146
JUN,杨玉环,146
JUN,夏侯惇,137
JUN,裴擒虎,104
JUN,镜,93
JUN,兰陵王,89
JUN,露娜,60
JUN,曹操,41
JUN,海诺,39
JUN,暃,33
MID,沈梦溪,187
MID,王昭君,180
MID,弈星,158
MID,不知火舞,123
MID,海月,64
MID,干将莫邪,55
MID,西施,53
MID,甄姬,49
MID,安琪拉,43
MID,周瑜,36
BOT,公孙离,167
BOT,孙尚香,153
BOT,戈娅,145
BOT,敖隐,125
BOT,狄仁杰,109
BOT,黄忠,98
BOT,伽罗,71
BOT,老夫子,58
BOT,鲁班七号,54
BOT,马可波罗,31
SUP,张飞,145
SUP,牛魔,140
SUP,朵莉亚,134
SUP,鲁班大师,122
SUP,太乙真人,102
SUP,苏烈,95
SUP,孙膑,74
SUP,大乔,67
SUP,桑启,59
SUP,庄周,53
