位置,胜率最高英雄名,胜率
TOP,蒙恬,0.714285714
TOP,司空震,0.571428571
TOP,达摩,0.56547619
TOP,曹操,0.55
TOP,马超,0.545454545
TOP,关羽,0.533333333
TOP,狂铁,0.505813953
TOP,姬小满,0.504950495
TOP,夏洛特,0.483050847
TOP,孙策,0.464285714
JUN,大司命,0.888888889
JUN,娜可露露,0.777777778
JUN,杨玉环,0.630136986
JUN,暃,0.575757576
JUN,铠,0.575342466
JUN,橘右京,0.545454545
JUN,兰陵王,0.539325843
JUN,露娜,0.516666667
JUN,哪吒,0.516129032
JUN,海诺,0.512820513
MID,不知火舞,0.617886179
MID,海诺,0.6
MID,甄姬,0.591836735
MID,西施,0.58490566
MID,沈梦溪,0.577540107
MID,嬴政,0.545454545
MID,姜子牙,0.538461538
MID,王昭君,0.511111111
MID,干将莫邪,0.490909091
MID,上官婉儿,0.428571429
BOT,后羿,0.714285714
BOT,蒙犽,0.692307692
BOT,鲁班七号,0.592592593
BOT,马可波罗,0.580645161
BOT,公孙离,0.526946108
BOT,狄仁杰,0.513761468
BOT,孙尚香,0.509803922
BOT,虞姬,0.5
BOT,敖隐,0.48
BOT,戈娅,0.475862069
SUP,孙膑,0.648648649
SUP,盾山,0.615384615
SUP,张飞,0.572413793
SUP,庄周,0.566037736
SUP,太乙真人,0.529411765
SUP,桑启,0.525423729
SUP,蔡文姬,0.513513514
SUP,廉颇,0.5
SUP,钟馗,0.5
SUP,牛魔,0.485714286
